Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
485;Certification Tools (Roadmap Pjt #56);Strategic Initiative Committee;;None;Tooling Committee (Roadmap Leader: CTO);Archived;;;;2011 Jan WGM/Ballot;;;;;- Non Product Project -;01/10/2009 08:00
424;Documentation providing comprehensive guidance on the use of the tooling supporting HL7 (Roadmap Pjt #61);Strategic Initiative Committee;;None;CTO, Wilfred Bonney, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/10/2009 08:00
523;HL7 Website Enhancments - Release 3;Publishing, Electronic Services and Tools Work Group;;Organizational Support;WG CoChairs, Dave Hamill, Mike Kingery;Archived;;;- Other -;2010 Jan WGM/Ballot;;;;;- Non Product Project -;01/10/2009 08:00
384;Provide the standards to collect genomic data and integrate into the EHR (Roadmap Pjt #11);Strategic Initiative Committee;;None;EHR WG, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;;;- Non Product Project -;01/10/2009 08:00
406;Ambassador program to international affiliates (Roadmap Pjt #36);Strategic Initiative Committee;;None;Marketing Council, (Roadmap Leader: CEO);Archived;;;;2010 Jan WGM/Ballot;;;;;- Non Product Project -;01/10/2009 08:00
570;TSC Work Group Visibility Project 2009;Technical Steering Committee;;Clinical, Infrastructure, Administrative, Organizational Support;Lynn Laakso;Archived;;26/10/2009;- Other -;2010 Jan WGM/Ballot;;;;;- Non Product Project -;02/10/2009 08:00
573;Emergency Care DAM Version 2;Emergency Care Work Group;;Clinical;EC WG Cochairs;On Hold;;;;2019 Jan WGM/Ballot;;;;;;16/10/2009 08:00
578;HL7 Model Interchange Format (MIF) Informative Ballot;Modeling and Methodology Work Group;Publishing Work Group, Tooling Work Group, Vocabulary Work Group;Infrastructure;Lloyd McKenzie;Archived;20/10/2009;02/11/2009;Ballot - Informative;2012 Sept WGM/Ballot;;;;;- New Product Definition -;16/10/2009 08:00
577;Update V3 Privacy Message;Community-Based Care and Privacy (CBCP) Work Group;;Clinical;CBCC WG Cochairs;Archived;;;;2014 Jan WGM/Ballot;;;;;;16/10/2009 08:00
575;Registry Services;Patient Administration Work Group;;Administrative;PA WG Cochair;Archived;;;;2012 Sept WGM/Ballot;;;;;;16/10/2009 08:00
574;Personnel Management CMETs;Patient Administration Work Group;;Administrative;PA WG Cochairs;Archived;;;;2012 May WGM/Ballot;;;http://gforge.hl7.org/gf/project/patient-admin/docman/?subdir=113;;;16/10/2009 08:00
579;CDA Release 2 Reaffirmation;Structured Documents Work Group;;Administrative;Keith W. Boone;Archived;29/10/2009;09/11/2009;Ballot - Normative (no STU);2010 Sept WGM/Ballot;;;;;V3 Documents-Clinical (e.g. CDA);22/10/2009 08:00
580;Online Presence;Publishing, Electronic Services and Tools Work Group;;Organizational Support;Lynn Laakso;Archived;23/11/2009;07/12/2009;- Other -;2011 Jan WGM/Ballot;;;http://wiki.hl7.org/index.php?title=ES_Online_Presence;;- Non Product Project -;23/10/2009 08:00
581;2010 Annual Updates to the 2009 Project Scope Statement Template;Project Services Work Group;;Organizational Support;Dave Hamill;Archived;26/10/2009;16/11/2009;- Other -;2010 May WGM/Ballot;;;;;;29/10/2009 08:00
588;Micro Sensitivity Report Template - CDA-R2;Orders and Observations Work Group;;Administrative;OO WG cochairs;Archived;;;;- Select One -;;;;;;02/11/2009 08:00
583;Specialized order models - new or harmonization with other work groups.;Orders and Observations Work Group;;Administrative;OO WG cochairs;Archived;;;;2015 Jan WGM/Ballot;;;;;;02/11/2009 08:00
584;Specialzed clinical event models - may overlap with detailed clinical model.;Orders and Observations Work Group;;Administrative;OO WG cochairs;Archived;;;;2015 Jan WGM/Ballot;;;;;;02/11/2009 08:00
585;Harmonize Medication Order with Composite Order;Orders and Observations Work Group;;Administrative;OO WG cochair;Archived;;;;2018 Jan WGM/Ballot;;;;;;02/11/2009 08:00
582;Lab Result - R2;Orders and Observations Work Group;;Administrative;OO WG cochairs;Archived;;;;2015 Jan WGM/Ballot;;;;;;02/11/2009 08:00
589;CDA Template Tooling Pilot;Structured Documents Work Group;;Administrative;Bob Dolin;Archived;29/10/2009;09/11/2009;- Other -;2010 May WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=Structured_Document_Template_Design_Pilot; 
http://wiki.hl7.org/index.php?title=OHT_-_HL7_UML_Modeling_Tools; 
https://mdht.projects.openhealthtools.org/cda/doc/; 
 https://staticmodeldesigner.projects.openhealthtools.org/";;- Non Product Project -;11/11/2009 08:00
592;PIC Tri-Annual Maintenance: Decision Making Practices (DMP) Template (May WGM);Process Improvement Work Group;;Organizational Support;Process Improvement Committee;Archived;;;- Other -;2018 May WGM/Ballot;;;;;- Non Product Project -;13/11/2009 08:00
590;PIC Bi-Annual Maintenance: Co-Chair Handbook (September WGM);Process Improvement Work Group;;Organizational Support;PIC Workgroup;Archived;;;- Other -;2018 Sept WGM/Ballot;;;;;- Non Product Project -;13/11/2009 08:00
593;PIC Annual Maintenance: Communication Strategy (Jan WGM);Process Improvement Work Group;;Organizational Support;Process Improvement Committee;Archived;;;- Other -;2018 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;13/11/2009 08:00
591;PIC Annual Maintenance: Best Practices (January WGM);Process Improvement Work Group;;Organizational Support;Process Improvement Committee;Archived;;;- Other -;2015 Jan WGM/Ballot;;;;;;13/11/2009 08:00
571;Post November 2009 Harmonziation Cleanup;Board of Directors Work Group;;None;"Ted Klein; Russ Hamm ";Archived;13/10/2009;13/10/2009;;2010 Jan WGM/Ballot;;;;;- Non Product Project -;23/11/2009 08:00
433;CDA Product and Services Guide - Phase 3;Marketing Work Group;;None;Jill Kaufman;Archived;;;- Other -;2012 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;08/12/2009 08:00
599;Ambassador webinar program;Marketing Work Group;;None;"Jill Kaufmann; Catherine Chronaki";Archived;;;- Other -;2012 Jan WGM/Ballot;;;;;;11/12/2009 08:00
609;Ambulatory Oncology EHR-S Functional Profile;Electronic Health Records Work Group;;Administrative;Paul Boyes;Archived;22/12/2009;04/01/2010;Ballot - Normative (no STU);2012 May WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Oncology_EHR_Functional_Profile;;Electronic Health Record;22/12/2009 08:00
611;Template Registry Pilot;Templates Work Group;Patient Care Work Group, Structured Documents Work Group, Tooling Work Group;Infrastructure;Keith W. Boone/Mark Shafarman;Archived;15/12/2009;04/01/2010;- Other -;2014 Sept WGM/Ballot;;;"http://gforge.hl7.org/gf/project/templatesreg/docman/; 
http://wiki.hl7.org/index.php?title=Templates_Registry_Pilot";;- Non Product Project -;23/12/2009 08:00
610;HL7 White Paper: 'Balancing the Integrity and Value of Personal Health Records with...';Electronic Health Records Work Group;;Administrative;John Ritter;Archived;22/12/2009;04/01/2010;Ballot - Comment;2010 Sept WGM/Ballot;;;;;- Non Product Project -;23/12/2009 08:00
723;HL7 Version 2.8 Messaging Standard;Publishing Work Group;Financial Management Work Group, Devices Work Group, Infrastructure and Messaging Work Group, Orders and Observations Work Group, Patient Administration Work Group, Pharmacy Work Group, Structured Documents Work Group;Organizational Support;Jane Daus;Archived;02/05/2011;09/05/2011;Ballot - Normative (no STU);2014 May WGM/Ballot;Revise Current Standard;;"Balloted Chapters that are in preparation for ballot will be stored on the GForge SVN: http://gforge.hl7.org/gf/project/v2-ballot-pkg/ 

Balloted chapters as well as Ballot Reconciliations will be uploaded to the ballot website: http://www.hl7.org/participate/onlineballoting.cfm?ref=nav 

V2.8 Project Scope Statement will be stored on the HL7 wiki: http://wiki.hl7.org/index.php?title=Publishing_Committee#HL7_V2.x_Publishing_Work_Group ";;"V2 Messages-Clinical; V2 Messages-Departmental";01/01/2010 08:00
411;Produce a plan and time-line for major methodological and modeling work (Roadmap Pjt #45);Strategic Initiative Committee;;Infrastructure;MnM Vocabulary WG, (Roadmap Leader: CTO);Archived;;;;2010 May WGM/Ballot;;;;;- Non Product Project -;01/01/2010 08:00
632;Beeler Consulting for 2010;Board of Directors Work Group;;None;Woody Beeler, Dave Hamill;Archived;;;Vendor Contract;2012 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;01/01/2010 08:00
396;Task force to survey the need for future standards and impl guides (Roadmap Pjt #24);Strategic Initiative Committee;;None;Task Force, (Roadmap Leader: Chair);Archived;;;;2010 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/01/2010 08:00
652;2010 Jane Curry Tooling Project Manager Project;Board of Directors Work Group;Tooling Work Group;None;Karen Van Hentenryck;Archived;04/01/2010;04/01/2010;Vendor Contract;2011 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;11/01/2010 08:00
613;Conformance with post-coordination method documentation;Vocabulary Work Group;;Infrastructure;Vocabulary Work Group;Archived;;;- Other -;- Select One -;IG;;;;V3 Foundation-Vocab Domains & Value Sets;13/01/2010 08:00
626;Substances Model;Orders and Observations Work Group;Pharmacy Work Group;Administrative;"Gunther Schadow (O&O - modelling);  Panagiotis Telonis";Archived;09/02/2010;22/02/2010;Ballot - STU;2013 May WGM/Ballot;Create New Standard;;"<a href=""http://gforge.hl7.org/gf/project/pharmacysig/scmsvn/?action=browse&amp;path=%2Fpharmacysig%2FPORX%2Ftrunk%2F"">http://gforge.hl7.org/gf/project/pharmacysig/scmsvn/?action=browse&amp;path=%2Fpharmacysig%2FPORX%2Ftrunk%2F ";;"V3 Documents-Clinical (e.g. CDA); V3 Documents-Knowledge";18/01/2010 08:00
618;O&O Domain Maintenance;Orders and Observations Work Group;;Administrative;Hans Buitendijk;Archived;;;- Other -;2013 Jan WGM/Ballot;- OTHER -;;;;V3 Documents-Clinical (e.g. CDA);18/01/2010 08:00
617;Laboratory Related CMETs - R2;Orders and Observations Work Group;;Administrative;Austin Kreisler;Archived;;;Ballot - STU;2014 Jan WGM/Ballot;Revise Current Standard;;;;V3 Documents-Clinical (e.g. CDA);18/01/2010 08:00
625;CPM DSTU R2 (Common Product Model);Orders and Observations Work Group;Devices Work Group, Patient Safety Work Group, Pharmacy Work Group, Biomedical Research and Regulation Work Group;Administrative;Ed Tripp, Myron Finseth;Archived;09/02/2010;22/02/2010;Ballot - STU;2013 Sept WGM/Ballot;Revise Current Standard;;"http://wiki.hl7.org/index.php?title=Common_Product_Model
http://gforge.hl7.org/gf/project/orders/scmsvn/";;"V3 Documents-Clinical (e.g. CDA); V3 Documents-Knowledge; V3 Messages-Clinical";19/01/2010 08:00
619;HL7 Transmission Wrappers R1.1 Batch Messaging;Infrastructure and Messaging Work Group;;Infrastructure;Rene Spronk;Archived;23/02/2010;08/03/2010;Ballot - STU;2015 Sept WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=MCCI_R2, HL7 Wiki;;;20/01/2010 08:00
557;Medication CMETs Release 1;Pharmacy Work Group;;Clinical;Hugh Glover;Archived;01/02/2010;08/02/2010;Ballot - Normative (no STU);2014 May WGM/Ballot;Revise Current Standard;;"<a href=""http://gforge.hl7.org/gf/project/pharmacysig/scmsvn/?action=browse&amp;path=%2Fpharmacysig%2FPOME%2FCMET%2520Ballots%2F"">http://gforge.hl7.org/gf/project/pharmacysig/scmsvn/?action=browse&amp;path=%2Fpharmacysig%2FPOME%2FCMET%2520Ballots%2F";;;21/01/2010 08:00
576;Person and Patient Registry Enhancement;Patient Administration Work Group;;Administrative;Line Saele;Archived;09/02/2010;22/02/2010;Ballot - STU;2015 May WGM/Ballot;Revise Current Standard;;"http://wiki.hl7.org/index.php?title=Proposal:_Person_Registry%2C_add_AdministrativeObservation_parameter; 
http://www.hl7.org/Special/committees/pafm/index.cfm";;;21/01/2010 08:00
624;Consider extending CCOW to handle Authorizations;Clinical Context Object Workgroup Work Group;;Administrative;CCOW WG;Archived;;;;2010 Sept WGM/Ballot;;;;;;28/01/2010 08:00
621;Root Cause and Underlying Factors Message (RUM);Patient Safety Work Group;;Clinical;Patient Safety;Archived;;;- Other -;2012 Jan WGM/Ballot;Supplement to a Current Standard;;;;V2 Messages-Clinical;28/01/2010 08:00
620;PSO Common Format CDA Project;Patient Safety Work Group;;Clinical;Patient Safety;Archived;;;;2014 Jan WGM/Ballot;Supplement to a Current Standard;;;;V3 Documents-Clinical (e.g. CDA);28/01/2010 08:00
622;Generic Incident Notification Message (GIN);Patient Safety Work Group;;Clinical;Patient Safety;Archived;;;Ballot - STU;2009 May WGM/Ballot;Revise Current Standard;;;;V3 Messages-Clinical;28/01/2010 08:00
623;Patient Safety Message Implementation guidance for IT considerations;Patient Safety Work Group;;Clinical;Patient Safety;Archived;;;;2010 Sept WGM/Ballot;IG;;;;- Non Product Project -;28/01/2010 08:00
525;HL7 Website Enhancments - Release 4;Publishing, Electronic Services and Tools Work Group;;Organizational Support;WG CoChairs;Archived;;;- Other -;2010 May WGM/Ballot;;;;;- Non Product Project -;01/02/2010 08:00
627;"V3 RIM Implementation Technology Specification for XML; Release 1";Implementable Technology Specifications Work Group;;Infrastructure;Grahame Grieve;Archived;09/02/2010;22/02/2010;Ballot - Normative (no STU);2017 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=RIM_ITS_Specification;;- New Product Definition -;02/02/2010 08:00
629;V2.8 Proposals - Improve conformance for better testing;Conformance Work Group;;Infrastructure;ICWG;Archived;;;Ballot - Normative (no STU);2013 Sept WGM/Ballot;Revise Current Standard;;;;V2 Messages-Infrastructure;10/02/2010 08:00
631;TSC Work Group Visbility Maintenance;Technical Steering Committee;;None;Lynn Laakso;Archived;;;- Other -;2015 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;16/02/2010 08:00
325;Medical Product Information (includes Drugs, Devices, Biologics, Veterinary Products) (SPLr5);Biomedical Research and Regulation Work Group;;Clinical;Myron Finseth;Archived;22/02/2010;01/03/2010;Ballot - Informative;2015 Sept WGM/Ballot;Revise Current Standard, IG;;"http://wiki.hl7.org/index.php?title=Medical_Product_Information_%28SPLr5%29; http://gforge.hl7.org/gf/project/rcrim/docman/?subdir=225; http://wiki.hl7.org/index.php?title=Medical_Product_and_Device_Listing; http://wiki.hl7.org/index.php?title=Structured_Product_Labeling";;V3 Documents-Administrative (e.g. SPL);23/02/2010 08:00
633;Project Visibility 2010;Project Services Work Group;PEST Work Group;Organizational Support;Lynn Laakso;Archived;05/03/2010;22/03/2010;- Other -;2011 May WGM/Ballot;;;http://hl7tsc.org/wiki/index.php?title=Main_Page#TSC_Projects;;;24/02/2010 08:00
634;Draft a policy for endorsement by the HL7 Technical Steering Committee on submitting HL7 proposed content change requests for SNOMED-CT to IHTSDO;Vocabulary Work Group;;Infrastructure;Russell Hamm;Archived;06/04/2010;19/04/2010;- Other -;2011 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"http://wiki.hl7.org/index.php?title=HL7_proposed_content_change_requests_for_SNOMED-CT_to_IHTSDO; Policy to be developed and stored in GForge.";;V3 Documents-Knowledge;24/02/2010 08:00
636;Annual Establishment of Publishing calendar(s);Publishing Work Group;;Organizational Support;Publishing WG co-chairs;Archived;;;;2021 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;26/02/2010 08:00
637;Annual maintenance of Facilitators guide;Publishing Work Group;;Organizational Support;Publishing WG co-chairs;Archived;;;;2018 Jan WGM/Ballot;;;;;;26/02/2010 08:00
639;Recurring maintenance of glossary and maintain ballot site and its xhtml conformance;Publishing Work Group;;Organizational Support;Publishing WG co-chairs;Archived;;;- Other -;2017 Jan WGM/Ballot;;;;N/A;;26/02/2010 08:00
638;Annual maintenance of V3 Guide & Backbone;Publishing Work Group;;Organizational Support;Publishing WG co-chairs;Archived;;;;2017 Jan WGM/Ballot;;;;;;26/02/2010 08:00
640;2010 SAIF Technical Writer Contract;Board of Directors Work Group;;None;"Karen Van Hentenryck; Karen Smith";Archived;16/02/2010;16/02/2010;Vendor Contract;2011 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;26/02/2010 08:00
635;Annual Normative Editions;Publishing Work Group;;Organizational Support;Publishing WG co-chairs;Archived;;;;2018 May WGM/Ballot;;;;N/A;;26/02/2010 08:00
641;Micro ITS and hData Project;Implementable Technology Specifications Work Group;;Infrastructure;Keith Boone, Gerald Beuchelt;Archived;23/02/2010;15/03/2010;Ballot - STU;2012 Jan WGM/Ballot;Create New Standard, IG;;"http://wiki.hl7.org/index.php?title=Micro_ITS
http://wiki.hl7.org/index.php?title=Hdata 
http://wiki.hl7.org/index.php?title=HData_Template_Sub_Project";;;02/03/2010 08:00
643;First Time Attendee Process Improvement Project.;Process Improvement Work Group;;Organizational Support;Ken McCaslin;Archived;05/03/2010;22/03/2010;- Other -;2016 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"http://www.hl7.org/Special/committees/pi/docs.cfm
http://wiki.hl7.org/index.php?title=PIC:FTA";;- Non Product Project -;05/03/2010 08:00
645;TSC Communications Plan;Technical Steering Committee;;None;Lynn Laakso;Archived;;;- Other -;2014 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;12/03/2010 08:00
644;HL7 Evaluation of the International Health Terminology Standards Development Organisation (IHTSDO) Workbench Tool;Vocabulary Work Group;;Infrastructure;Russ Hamm;Archived;23/03/2010;12/04/2010;Ballot - Informative;2011 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"http://gforge.hl7.org/gf/project/ihtsdo-wbench/docman/?subdir=223; The final document will be posted on GForge ";;- Non Product Project -;12/03/2010 08:00
